X,Y,Z,Activity
-9.474698,-4.191284,-4.402046,Sit
-9.062755,-5.352869,-4.351751,Sit
-9.675879,-0.941243,-1.939966,Sit
-11.151212,0.898132,-3.508704,Sit
-9.944121,-2.208208,-4.2799,Sit
-10.528506,-1.638193,-4.234395,Sit
-11.481724,0.174836,-1.966311,Sit
-11.287727,3.424878,-0.390388,Sit
-10.279425,3.075205,-3.779341,Sit
-9.350157,2.201023,-5.072651,Sit
-9.889036,2.43813,-4.215235,Sit
-10.317744,2.838098,-2.454895,Sit
-9.148975,3.04407,-1.585503,Sit
-8.698711,2.816543,-1.848955,Sit
-8.473579,3.02012,-3.190166,Sit
-9.11784,3.06802,-3.736231,Sit
-9.589659,4.038003,-3.61648,Sit
-9.433982,4.143384,-3.72186,Sit
-9.072334,3.075205,-4.883445,Sit
-8.408914,2.363884,-4.718189,Sit
-7.714358,0.917293,-2.227368,Sit
-6.653365,-0.787961,-2.028582,Sit
-6.423443,-1.839375,-2.895579,Sit
-7.225774,-3.113526,-2.706372,Sit
-8.279583,-2.974614,-3.166216,Sit
-10.169253,1.149609,-4.157754,Sit
-11.57992,2.553091,-5.142107,Sit
-7.501202,-0.66342,-1.367556,Sit
-14.192886,-0.280217,-2.541116,Sit
-6.023474,-0.708926,-1.171165,Sit
-5.781578,-0.469424,-3.638035,Sit
-11.136841,1.338816,-2.46208,Sit
-8.52148,-0.641865,-1.422642,Sit
-8.071217,2.46687,-4.612808,Sit
-9.127419,5.623506,-6.109695,Sit
-10.370435,6.456973,-4.526587,Sit
-9.960887,6.09293,-2.881209,Sit
-8.5598,6.864126,-2.469265,Sit
-7.450906,7.726333,-3.154241,Sit
-7.470066,6.895261,-3.939807,Sit
-7.838899,6.291717,-1.571133,Sit
-7.776629,8.341853,-4.277505,Sit
-6.682105,2.507586,-11.57992,Sit
-7.671248,-0.795147,-8.408914,Sit
-7.96344,-2.42376,-2.763853,Sit
-6.394702,-1.343606,-1.997446,Sit
-6.981482,4.406836,-5.702542,Sit
-6.610254,4.960086,-7.441326,Sit
-5.889353,2.057322,-5.182823,Sit
-7.419771,1.26936,-5.012776,Sit
-8.763377,1.571133,-6.308482,Sit
-7.913145,1.738784,-4.936135,Sit
-8.028106,3.566184,-4.718189,Sit
-9.256751,5.101392,-4.854705,Sit
-7.472461,2.445315,-5.134922,Sit
-7.573052,1.872905,-6.071375,Sit
-8.143066,2.981799,-5.771997,Sit
-8.006551,2.864444,-5.563631,Sit
-6.449788,2.196233,-5.015171,Sit
-6.993457,1.719624,-5.338499,Sit
-8.028106,2.227368,-5.654641,Sit
-7.606582,2.265689,-4.059558,Sit
-8.128696,1.724414,-3.896697,Sit
-10.890154,1.465752,-5.937253,Sit
-11.151212,2.622546,-3.946992,Sit
-8.315508,0.929268,-3.156636,Sit
-8.131092,-0.886157,-5.50136,Sit
-8.617281,-1.484912,-5.946834,Sit
-7.35271,-0.071851,-4.435576,Sit
-9.493857,1.882485,-4.33738,Sit
-9.278306,2.081272,-4.746929,Sit
-7.32397,1.678909,-4.902605,Sit
-6.294112,1.16398,-4.972061,Sit
-6.138435,0.100591,-5.242698,Sit
-7.120393,0.993933,-4.722979,Sit
-9.2328,2.560276,-4.402046,Sit
-9.929751,3.094365,-4.457131,Sit
-9.644744,3.487149,-5.015171,Sit
-9.671089,4.155359,-5.173243,Sit
-9.127419,4.677474,-4.562512,Sit
-8.440049,4.428391,-4.315825,Sit
-8.102351,4.006868,-4.610413,Sit
-7.642508,3.266807,-4.969666,Sit
-6.504873,2.483635,-4.8571,Sit
-5.460645,2.325564,-4.402046,Sit
-6.08335,1.312471,-4.596043,Sit
-7.90596,1.015488,-4.981641,Sit
-9.80521,1.647774,-4.442761,Sit
-10.789563,1.528023,-3.628455,Sit
-9.326206,0.881367,-4.643943,Sit
-7.824529,1.252595,-4.28469,Sit
-7.565867,1.896856,-4.220025,Sit
-8.135881,2.191443,-5.446275,Sit
-8.270002,2.212998,-5.036726,Sit
-8.119117,2.469265,-4.749324,Sit
-7.810159,2.893184,-4.675078,Sit
-7.513176,2.926714,-4.004473,Sit
-7.465276,2.701582,-3.434458,Sit
-8.083191,2.629732,-3.6548,Sit
-8.116721,2.186653,-4.629573,Sit
-9.345366,2.074087,-4.603228,Sit
-10.231524,2.052532,-3.408113,Sit
-10.528506,1.743574,-3.075205,Sit
-10.032737,1.23583,-4.076324,Sit
-9.472302,1.310076,-5.233118,Sit
-8.52627,1.669329,-5.094207,Sit
-7.647298,1.844165,-4.24637,Sit
-7.893985,1.990261,-4.162544,Sit
-8.361013,2.047742,-4.562512,Sit
-8.487949,2.019001,-4.675078,Sit
-8.538245,2.026187,-4.418811,Sit
-8.437654,2.038162,-4.342171,Sit
-8.274793,2.030977,-4.485872,Sit
-8.308323,2.021397,-4.517007,Sit
-8.310719,2.033372,-4.414021,Sit
-8.392149,2.064507,-4.351751,Sit
-8.473579,2.059717,-4.30864,Sit
-8.55022,2.030977,-4.30385,Sit
-8.667576,2.030977,-4.243975,Sit
-8.655601,1.961521,-4.19847,Sit
-8.6077,1.834585,-4.157754,Sit
-8.56938,1.762734,-4.181704,Sit
-8.602911,1.731599,-4.234395,Sit
-8.612491,1.722019,-4.267925,Sit
-8.62207,1.726809,-4.23679,Sit
-8.739427,1.748364,-4.22242,Sit
-8.626861,1.731599,-4.205655,Sit
